W + 7        74         8  1139000.0(1S)
    1  4dA 4fD 5s2 5p6         (0)0(     6.5)            0.0000   {X}
    2  4dA 4fD 5s2 5p6         (0)0(     6.5)            0.0000   {X}
    3  4dA 4fE 5s2 5p5         (0)0(     2.5)        32943.1000   {X}
    4  4dA 4fE 5s1 5p6         (0)0(     0.5)       376870.7000   {X}
    5  4dA 4fD 5s2 5p5 5d1     (0)0(   419.0)       391773.0000   {X}
    6  4dA 4fE 5s2 5p4 5d1     (0)0(    74.5)       418713.5000   {X}
    7  4dA 4fE 5s2 5p4 6s1     (0)0(    14.5)       549959.3000   {X}
    8  4dA 4fC 5s2 5p6 6s1     (0)0(    90.0)       562677.8000   {X}
    9  4dA 4fC 5s2 5p6 6s1     (0)0(    90.0)       562677.8000   {X}
   10  4dA 4fE 5s2 5p4 6p1     (0)0(    44.5)       647395.0000   {X}
    19    12 7.05+06 1.85+01 1.85+01 1.86+01 1.87+01 1.89+01 1.93+01 1.98+01 2.03+01 2.09+01 2.13+01 2.15+01 2.17+01 2.19+01 2.20+01
    20    12 2.40+04 2.26+01 2.27+01 2.27+01 2.29+01 2.31+01 2.38+01 2.47+01 2.58+01 2.72+01 2.81+01 2.87+01 2.93+01 2.95+01 2.96+01
    10     7 2.99+09 2.66+02 2.67+02 2.72+02 2.81+02 2.99+02 3.50+02 4.12+02 4.94+02 6.28+02 7.44+02 8.67+02 1.04+03 1.17+03 1.30+03
    14     7 3.88+05 3.36+01 3.37+01 3.38+01 3.40+01 3.46+01 3.62+01 3.82+01 4.07+01 4.39+01 4.60+01 4.75+01 4.89+01 4.95+01 4.98+01
    15     7 1.00-30 7.87+00 7.89+00 7.92+00 7.99+00 8.15+00 8.63+00 9.26+00 1.01+01 1.13+01 1.21+01 1.27+01 1.32+01 1.35+01 1.37+01
    16     7 8.12+07 6.48+00 6.48+00 6.49+00 6.50+00 6.53+00 6.60+00 6.67+00 6.74+00 6.81+00 6.85+00 6.90+00 6.97+00 7.04+00 7.13+00
    19     7 4.91+04 4.33+00 4.33+00 4.34+00 4.34+00 4.36+00 4.42+00 4.50+00 4.59+00 4.73+00 4.81+00 4.87+00 4.91+00 4.94+00 4.95+00
    17     7 7.54+10 4.77+01 4.77+01 4.79+01 4.82+01 4.90+01 5.17+01 5.60+01 6.34+01 7.84+01 9.31+01 1.10+02 1.35+02 1.56+02 1.76+02
    12    10 9.82+03 1.10+02 1.10+02 1.10+02 1.11+02 1.12+02 1.15+02 1.18+02 1.21+02 1.24+02 1.25+02 1.26+02 1.27+02 1.27+02 1.27+02
    14    10 1.01+10 3.81+02 3.83+02 3.89+02 4.02+02 4.30+02 5.13+02 6.27+02 7.88+02 1.06+03 1.31+03 1.59+03 1.96+03 2.26+03 2.56+03
    18    10 5.97+05 1.22+01 1.22+01 1.23+01 1.25+01 1.29+01 1.41+01 1.58+01 1.80+01 2.14+01 2.36+01 2.54+01 2.70+01 2.77+01 2.82+01
    15    10 1.41+10 1.89+01 1.90+01 1.94+01 2.02+01 2.22+01 2.85+01 3.83+01 5.39+01 8.34+01 1.12+02 1.44+02 1.90+02 2.26+02 2.64+02
